,structure_name,SurfArea,GrayVol,AvgThick,sub_id
16,lh_G_Ins_lg&S_cent_ins,460,1696,3.483,sub-0002
17,lh_G_insular_short,571,2647,3.697,sub-0002
18,lh_G_occipital_middle,1277,3908,2.462,sub-0002
19,lh_G_occipital_sup,1018,2139,1.938,sub-0002
20,lh_G_oc-temp_lat-fusifor,1150,4383,3.101,sub-0002
21,lh_G_oc-temp_med-Lingual,1926,4303,1.97,sub-0002
22,lh_G_oc-temp_med-Parahip,665,2953,3.409,sub-0002
23,lh_G_orbital,1728,6354,2.785,sub-0002
24,lh_G_pariet_inf-Angular,1528,5236,2.633,sub-0002
25,lh_G_pariet_inf-Supramar,2067,7577,2.961,sub-0002
26,lh_G_parietal_sup,1772,5447,2.427,sub-0002
27,lh_G_postcentral,1446,4063,2.325,sub-0002
28,lh_G_precentral,1626,6187,2.943,sub-0002
29,lh_G_precuneus,1409,4717,2.595,sub-0002
30,lh_G_rectus,715,2199,2.324,sub-0002
31,lh_G_subcallosal,510,1055,2.308,sub-0002
32,lh_G_temp_sup-G_T_transv,316,1097,2.743,sub-0002
33,lh_G_temp_sup-Lateral,1338,5865,3.156,sub-0002
34,lh_G_temp_sup-Plan_polar,518,2221,3.609,sub-0002
35,lh_G_temp_sup-Plan_tempo,676,2188,2.837,sub-0002
36,lh_G_temporal_inf,1695,6689,3.036,sub-0002
37,lh_G_temporal_middle,2443,9745,3.061,sub-0002
38,lh_Lat_Fis-ant-Horizont,224,649,2.679,sub-0002
39,lh_Lat_Fis-ant-Vertical,373,935,2.609,sub-0002
40,lh_Lat_Fis-post,712,1367,2.518,sub-0002
41,lh_Pole_occipital,1368,2240,1.579,sub-0002
42,lh_Pole_temporal,1076,5359,3.386,sub-0002
43,lh_S_calcarine,1798,2634,1.722,sub-0002
44,lh_S_central,2224,3649,1.899,sub-0002
45,lh_S_cingul-Marginalis,656,1400,2.254,sub-0002
46,lh_S_circular_insula_ant,450,1031,2.816,sub-0002
47,lh_S_circular_insula_inf,957,2252,2.927,sub-0002
48,lh_S_circular_insula_sup,1271,2911,2.874,sub-0002
49,lh_S_collat_transv_ant,590,1861,3.086,sub-0002
50,lh_S_collat_transv_post,305,590,2.156,sub-0002
51,lh_S_front_inf,1505,3320,2.3,sub-0002
52,lh_S_front_middle,1196,3742,2.577,sub-0002
53,lh_S_front_sup,1981,4766,2.549,sub-0002
54,lh_S_interm_prim-Jensen,321,661,2.408,sub-0002
